ds,yhat,yhat_lower,yhat_upper
2019-07-11,0.00014924283482894925,9.093383606055e-05,0.0002624971544177505
2019-07-12,0.00014946300407516484,8.353111360845883e-05,0.0002516544759289531
2019-07-13,0.0001379548537682321,8.105048992418238e-05,0.00025014835367015334
2019-07-14,0.00013377278808050756,7.82987968396177e-05,0.00023932976356643687
2019-07-15,0.00025166070365672367,0.0001435759191392346,0.0004400758604616331
2019-07-16,0.00015165648149397524,8.320489896450651e-05,0.00026047265192411304
2019-07-17,7.498669036531564e-05,4.14537115872184e-05,0.00013180572889132588
2019-07-18,0.0001838380990242674,0.00010289953144304248,0.00031171936574568316
2019-07-19,0.00018136484783347107,0.0001027331879511136,0.0003205093903031256
2019-07-20,7.767245132180073e-05,4.233291892178835e-05,0.00013047018103064196
2019-07-21,4.855750403408258e-05,2.895089910346204e-05,8.482834561918932e-05
2019-07-22,7.088864126634812e-05,4.02108214069391e-05,0.00012878780616300996
2019-07-23,7.403877904944802e-05,4.258480247202595e-05,0.0001303843570970492
2019-07-24,0.00010836719398137744,6.408370670215154e-05,0.0001894134620546972
2019-07-25,0.00011160490062266219,6.464025937418399e-05,0.00019105714500827263
2019-07-26,0.00014522080470221458,8.219090636798737e-05,0.00024643096482862814
2019-07-27,0.0002668697340576324,0.00015038537805828144,0.00046458158099917275
2019-07-28,6.55167621181284e-05,3.7548118381941904e-05,0.00011667135301936773
2019-07-29,0.0002695389864143202,0.00014454556240466585,0.0004905908461050084
2019-07-30,0.00024211638137488624,0.00013507115521938165,0.00042135575021722704
2019-07-31,8.194120705106524e-05,4.7245911329970464e-05,0.0001465810887392115
2019-08-01,8.213745134174371e-05,4.664411055534975e-05,0.00014436977668458908
2019-08-02,6.68742335444978e-05,3.7956689757978036e-05,0.00011744158040231238
2019-08-03,9.953625651982042e-05,5.60231837651601e-05,0.00018099573659080328
2019-08-04,5.548947460622539e-05,3.2120671525992735e-05,9.669266459770242e-05
2019-08-05,7.676904876749048e-05,4.269940406788048e-05,0.00013431613480887288
2019-08-06,7.524681325044288e-05,4.416675576172066e-05,0.00013238466750530386
2019-08-07,7.963610568516905e-05,4.744766893034762e-05,0.00014091627585054696
2019-08-08,8.587650430298608e-05,4.90312478550118e-05,0.00015650992254692412
2019-08-09,9.671461796522764e-05,5.467055837092716e-05,0.00016740412177897166
2019-08-10,0.00010150769158794689,5.698826603041078e-05,0.00018545020645368697
2019-08-11,8.399688569498304e-05,4.815584735128981e-05,0.00015214585402011365
2019-08-12,8.472936001757811e-05,4.946659407632465e-05,0.00014679653856929022
2019-08-13,9.497460638781443e-05,5.509998003268736e-05,0.00017008140363111655
2019-08-14,9.110166624721727e-05,5.4226528552171566e-05,0.00016015832060783442
2019-08-15,0.00015051595326802614,8.594360194706873e-05,0.00025801390024325724
2019-08-16,0.00020462614934345504,0.00011588392567953692,0.0003734573323738502
2019-08-17,5.965990453489676e-05,3.083162413442235e-05,0.00011564980680105494
2019-08-18,4.662840164466707e-05,2.640363170645252e-05,8.088485680741636e-05
2019-08-19,9.438510870255447e-05,5.438444876760684e-05,0.00016065948266511977
2019-08-20,0.00011422398923611295,6.347334852133399e-05,0.0001912914972315214
2019-08-21,0.0001134818204679011,6.397014404191641e-05,0.00020247363787022254
2019-08-22,0.0001867155933875243,0.00010750668714408828,0.0003326694943938089
2019-08-23,0.00020198124563307232,0.00011408806249074864,0.00035093938464607604
2019-08-24,7.537268116772935e-05,4.313549842494342e-05,0.00013002621639458537
2019-08-25,6.366982401129892e-05,3.6169025111852314e-05,0.00011195528296048304
2019-08-26,0.00012368967669596715,6.83045511030995e-05,0.00021324895125494556
2019-08-27,9.66161303438138e-05,5.359125424630939e-05,0.00016615188503988734
2019-08-28,5.48742389652007e-05,3.1802244448236926e-05,9.917498333250141e-05
2019-08-29,0.00018365709473866358,0.00010838816911212729,0.00033316515614646003
2019-08-30,0.0001035997197440388,6.0064065199088986e-05,0.00019005245463489192
2019-08-31,8.848062618827337e-05,4.9042446429844287e-05,0.0001663047302567025
2019-09-01,6.849020899822147e-05,3.8479914546815206e-05,0.00012215779542549393
2019-09-02,0.00012004097555929194,7.054279777973904e-05,0.00020810445504980627
2019-09-03,9.645247973826519e-05,5.5480259252295186e-05,0.00017173185219952032
2019-09-04,0.00011832570854314319,6.985407896113495e-05,0.00020549346060932177
2019-09-05,0.00010224837142668626,6.107369663546531e-05,0.00017965882635316465
2019-09-06,8.7869625502426e-05,4.9409195106568516e-05,0.00015013909519319586
2019-09-07,0.00011416612510454241,6.42492632902189e-05,0.00020473450890503726
2019-09-08,0.00013337867333218547,7.687708666572844e-05,0.0002330361436093548
2019-09-09,8.423596212300763e-05,4.8733928625798276e-05,0.00014795556963041788
2019-09-10,0.00012121578392152208,6.884064716262392e-05,0.00022611131512923445
2019-09-11,0.0001049194459714878,5.9231654737874536e-05,0.00018084418090601778
2019-09-12,0.000158525618946452,9.008004273412594e-05,0.0002647445915891682
2019-09-13,0.00022142492235735208,0.0001239631763167167,0.00040824415273888473
2019-09-14,7.503390478160189e-05,4.403284356708789e-05,0.0001301493176365244
2019-09-15,0.00010724523127301469,6.133110712193983e-05,0.00018685202181741346
2019-09-16,9.279155672669259e-05,5.4964477080976345e-05,0.00015769174817941713
2019-09-17,8.829331966158343e-05,5.037716832418727e-05,0.00015526425760415693
2019-09-18,0.00013445355646151202,7.441830006040429e-05,0.0002383464016278515
2019-09-19,0.00013351875687788066,7.784611597571369e-05,0.00022646403129770535
2019-09-20,0.0001396315758434546,7.869409162457724e-05,0.00023477750911221723
2019-09-21,0.0001172450716414452,6.651905070556932e-05,0.00020213675840742527
2019-09-22,6.857877715723088e-05,3.955856615106134e-05,0.0001245635620261732
2019-09-23,8.058776438681999e-05,4.7830060236125733e-05,0.00014207017368002975
2019-09-24,0.00011705930840390016,6.95070334184715e-05,0.0002085771634987858
2019-09-25,0.0001430160635571781,8.346678487921624e-05,0.0002465035454143297
2019-09-26,9.739107462271867e-05,5.381717162630876e-05,0.00017369031059797244
2019-09-27,6.933273544461766e-05,3.96932484708684e-05,0.00012213332374830913
2019-09-28,6.132339230769445e-05,3.586322943109661e-05,0.00010862321923376194
2019-09-29,5.072225821907522e-05,2.8212847002832062e-05,8.77714510825564e-05
2019-09-30,0.0001206764152329727,6.929871355603437e-05,0.0002102335951554791
2019-10-01,5.65493435498319e-05,3.193771131477186e-05,9.417184792538887e-05
2019-10-02,4.151384917571508e-05,2.408327700404889e-05,7.536737320461765e-05
