ds,y,yhat
2019-07-23,,4.97115533098739e-05
2019-07-24,6.414056913797825e-05,7.44671121897881e-05
2019-07-25,,5.674418151221811e-05
2019-07-26,,6.809930182445113e-05
2019-07-27,0.00017196617485568016,0.00011929989530597231
2019-07-28,2.7443792452072907e-05,5.247394179352433e-05
2019-07-29,,0.00017201206423174894
2019-07-30,0.00015662749311190396,0.0001504756477906237
2019-07-31,6.050868038676664e-05,5.821998657535639e-05
2019-08-01,4.3006964343577216e-05,5.0419751934873104e-05
2019-08-02,4.10277988248762e-05,3.914873420800513e-05
2019-08-03,9.861210915104115e-05,6.24197931475562e-05
2019-08-04,4.145326315154076e-05,4.603671080282804e-05
2019-08-05,3.471797385099704e-05,5.948437043212686e-05
2019-08-06,6.847941377130532e-05,5.366896576101126e-05
2019-08-07,,5.370362084130888e-05
2019-08-08,5.82968271041279e-05,5.0114740216299634e-05
2019-08-09,,4.3217693729409465e-05
2019-08-10,6.365820561291595e-05,6.554587073357718e-05
2019-08-11,6.82591118916431e-05,6.913507229385801e-05
2019-08-12,,6.509710011527976e-05
2019-08-13,5.076143663370628e-05,6.710032781157719e-05
2019-08-14,5.6711809426825194e-05,6.572923057252794e-05
2019-08-15,0.0001540909456324612,9.77638590025698e-05
2019-08-16,0.0002061647627391151,0.00012106080800798085
2019-08-17,4.504979196621147e-05,3.581036922493274e-05
2019-08-18,1.2905499016576193e-05,3.862412376794731e-05
2019-08-19,0.00012823730254191173,7.026734597540333e-05
2019-08-20,0.0001159409765114782,8.711068942380957e-05
2019-08-21,4.9699989493810374e-05,9.24930692926613e-05
2019-08-22,0.0002123109337053445,0.0001180649763853323
2019-08-23,0.00017159684916015708,0.00011780598873577781
2019-08-24,7.388961904316402e-05,5.4770884099645224e-05
2019-08-25,2.6926958398596466e-05,5.458863172418058e-05
2019-08-26,0.00014693442800663343,9.406713080934562e-05
2019-08-27,5.3435045797099314e-05,7.16316651904627e-05
2019-08-28,0.0001412845304002978,4.1388438161249515e-05
2019-08-29,8.61453569579329e-05,8.208351318386916e-05
2019-08-30,5.707236414309539e-05,4.634811117219375e-05
2019-08-31,0.00010798609954633688,5.640533065729873e-05
2019-09-01,3.571898068388591e-05,5.6479313549806134e-05
2019-09-02,9.68432426605627e-05,8.690066650915666e-05
2019-09-03,6.562110498181357e-05,7.142737149140966e-05
2019-09-04,8.098162696623e-05,8.419676030925938e-05
2019-09-05,4.075562595092911e-05,5.5739710903096525e-05
2019-09-06,5.2930828776398546e-05,5.493517208408253e-05
2019-09-07,7.339842736814699e-05,7.395825851505445e-05
2019-09-08,7.588090771582941e-05,9.809006428072117e-05
2019-09-09,,4.827971506887607e-05
2019-09-10,2.390190877769583e-05,6.407490854433654e-05
2019-09-11,2.3269551658543804e-05,6.770259598225859e-05
2019-09-12,9.302257279191738e-05,8.528500559117033e-05
2019-09-13,0.0002891614754643396,0.00010816756855223724
2019-09-14,5.180626439138028e-05,4.6173538660297444e-05
2019-09-15,6.267698894603812e-05,7.240819051895618e-05
2019-09-16,7.77769839541684e-05,6.07589806721142e-05
2019-09-17,5.700822682627401e-05,5.446361483297457e-05
2019-09-18,0.00018479698605066005,7.80376748577698e-05
2019-09-19,4.472597629469908e-05,6.744119367770994e-05
2019-09-20,6.07352305951052e-05,6.703589521365173e-05
2019-09-21,4.385220219216309e-05,6.371554719762732e-05
2019-09-22,2.5657573371043202e-05,4.8040986781287156e-05
2019-09-23,3.868528582602924e-05,5.229860353322134e-05
2019-09-24,0.00013616314327253467,7.184358796739772e-05
2019-09-25,8.58513169035658e-05,8.399312738923196e-05
2019-09-26,8.439871834854073e-05,5.068988018177527e-05
2019-09-27,6.009712722409717e-05,3.556408453432792e-05
2019-09-28,4.318421177539118e-05,3.6477280025611914e-05
2019-09-29,3.859363542216257e-05,3.813727211335006e-05
2019-09-30,6.588135814971915e-05,6.339965828388517e-05
2019-10-01,,2.9213554583150056e-05
2019-10-02,1.1951251508435102e-05,2.7916795771434545e-05
2019-10-03,2.7593954655458196e-05,3.0403477439491005e-05
2019-10-04,,4.3464442755975704e-05
2019-10-05,3.918355571938077e-05,6.902457006509998e-05
2019-10-06,3.981966467645207e-05,4.4311519228658194e-05
2019-10-07,7.005900255745926e-05,7.598883211371125e-05
2019-10-08,7.763495591282598e-05,7.792545367571459e-05
2019-10-09,9.251491595641574e-05,4.907371434243444e-05
2019-10-10,4.655595922525286e-05,3.873126028589482e-05
2019-10-11,5.4920338000518995e-05,3.9857033506894255e-05
2019-10-12,,1.575103646592327e-05
2019-10-13,2.3058854225374835e-05,2.9940114018570188e-05
2019-10-14,,3.624754222921287e-05
