ds,y,yhat,yhat_lower,yhat_upper
2019-06-09,5.798227713870748e-05,8.125085177283225e-05,4.553976142995289e-05,0.00014189799886163757
2019-06-10,,0.00016735299426889102,9.593504162768585e-05,0.00030325691682610956
2019-06-11,,7.801584131707267e-05,4.448331383248347e-05,0.00013206998602742715
2019-06-12,,0.00011730673641749646,6.640851944119139e-05,0.0002073089639586091
2019-06-13,,9.685583870987134e-05,5.591713223917272e-05,0.00017316169767936444
2019-06-14,,0.00010164127066604512,5.828044334076487e-05,0.00018086820350985357
2019-06-15,,4.562572889293744e-05,2.6278774510961498e-05,8.045559622891954e-05
2019-06-16,,4.0423351505807984e-05,2.2793252737910973e-05,6.941468945218222e-05
2019-06-17,,9.354017001161e-05,4.3834598842176165e-05,0.0002035169313865207
2019-06-18,,7.533375240660186e-05,4.290205635370099e-05,0.00013433004479963405
2019-06-19,7.834792200606769e-05,8.76036543535161e-05,4.9664729414393615e-05,0.00016227006663063683
2019-06-20,0.00014500213832306113,0.00013200328588968573,6.929982715469576e-05,0.0002593018895035097
2019-06-21,,0.00012936591422836764,7.422596298020824e-05,0.000225871248870756
2019-06-22,0.00033702624285159873,0.0001791280048981357,0.00010048470980694484,0.0003196090049114131
2019-06-23,,0.0001281730237651265,7.365799002514352e-05,0.00023297940415977883
2019-06-24,,0.00010778364857888021,6.03913323206423e-05,0.00018586174664204667
2019-06-25,5.676430782262968e-05,6.409254994518668e-05,3.573007561422926e-05,0.00011298993699516413
2019-06-26,,0.0001230597038404325,6.831810277217454e-05,0.00021396698194826603
2019-06-27,0.00011336024156143439,0.00010717635432050582,6.035989380096054e-05,0.00018787659277053455
2019-06-28,,0.00020753613863531425,0.00012082874480142647,0.0003634077297660903
2019-06-29,,0.00012079866263449849,6.739031310073108e-05,0.00020859908465721674
2019-06-30,,5.989075390764724e-05,3.41324796354055e-05,0.00010197175391377503
2019-07-01,0.00013547687481798136,0.00012311439618073127,7.063801081614426e-05,0.00022151476399589015
2019-07-02,,0.00012065995495278621,6.654672858903895e-05,0.00021475884841603752
2019-07-03,6.490486827560437e-05,0.00011922882401448066,6.953278437002815e-05,0.00021328679167156275
2019-07-04,0.00010080674400129209,0.00010264495503867174,6.041231797600204e-05,0.00017670772447251368
2019-07-05,8.634794433509614e-05,0.00012455397005123317,7.32219017013571e-05,0.00021820528675626095
2019-07-06,0.00024363596569008039,0.00023141371241878347,0.0001276573668861528,0.0004065618333048869
2019-07-07,0.00013392722182505457,0.00010988143685949042,5.980508544002112e-05,0.0001965289058674259
2019-07-08,0.0001555472327641123,0.0001606578757187799,9.26463487944545e-05,0.0002765091020273281
2019-07-09,0.00016816839759624478,0.00014560767808730822,7.474303661861183e-05,0.0002808314353831484
2019-07-10,,0.0002656745527081555,0.0001582230884423892,0.0004676271504463227
2019-07-11,,0.00013558690659185932,7.637276850777956e-05,0.00024062448166710135
2019-07-12,9.960225158913024e-05,0.00013909573534089665,7.854360938070606e-05,0.0002534432565634363
2019-07-13,0.00021113400039815254,0.00014574979555655326,8.397270492053708e-05,0.0002565504422588386
2019-07-14,0.0001590240186346843,0.00014186098793225055,8.029072889751516e-05,0.00025010368636036465
2019-07-15,0.00012134362549394049,0.00022652288574907185,0.00012310489853568774,0.0004046205304425439
2019-07-16,9.949294681199182e-05,0.00015487037825340347,9.04258761755742e-05,0.0002714560344194552
2019-07-17,0.0001029899565596073,7.868337461390532e-05,4.446601972587986e-05,0.00013944741204864177
2019-07-18,,0.00016634183254921094,9.455390370386482e-05,0.00028930195238656073
2019-07-19,0.000224455949254484,0.00019366659398776205,0.00010949472932458273,0.0003387616712257164
2019-07-20,,7.139812917187847e-05,4.0244862813031785e-05,0.00012577071862132928
2019-07-21,,4.44796271888276e-05,2.4979695393501164e-05,7.553608287029414e-05
2019-07-22,,7.366104622501577e-05,4.2469864663914e-05,0.00012848131696780392
2019-07-23,,7.77787130551938e-05,4.378234003644544e-05,0.00013630746424122972
2019-07-24,0.00027664928347803755,0.0001139033888670898,6.30197098000508e-05,0.0001938675173606118
2019-07-25,,9.946207021962794e-05,5.867260654140452e-05,0.00017438186671242772
2019-07-26,,0.00013243863119197038,7.62721614606944e-05,0.0002250600433934988
2019-07-27,0.0003748235439795361,0.0002434629952921717,0.00014069315274842085,0.00042674046967924
