ds,y,precipitaciones,temperatura,es_finde,hora,dia_semana,mes,anio,Año Nuevo (New Year's Day),Día Nacional de la Memoria por la Verdad y la Justicia (Memory's National Day for the Truth and Justice),Día Nacional de la Soberanía (National Sovereignty Day),Día Pase a la Inmortalidad del General D. José de San Martin (Day Pass to the Immortality of General D. José de San Martin),Día Pase a la Inmortalidad del General D. Manuel Belgrano (Day Pass to the Immortality of General D. Manuel Belgrano),Día Pase a la Inmortalidad del General Martín Miguel de Güemes (Day Pass to the Immortality of General Martín Miguel de Güemes),Día de Carnaval (Carnival's Day),Día de Pascuas (Easter Day),Día de la Independencia (Independence Day),Día de la Revolucion de Mayo (May Revolution Day),Día del Respeto a la Diversidad Cultural (Respect for Cultural Diversity Day),Día del Trabajo (Labour Day),Día del Veterano y de los Caidos en la Guerra de Malvinas (Veterans Day and the Fallen in the Malvinas War),La Inmaculada Concepción (Immaculate Conception),Navidad (Christmas),Semana Santa (Jueves Santo)  (Holy day (Holy Thursday)),Semana Santa (Viernes Santo)  (Holy day (Holy Friday)),predicho
2019-01-04 13:00:00+00:00,20915.000000000044,0,27.9,0,13,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21732.609006500028
2019-01-04 14:00:00+00:00,21263.000000000087,0,28.6,0,14,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21766.485815937584
2019-01-04 15:00:00+00:00,21962.000000000106,0,28.9,0,15,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21924.48294652843
2019-01-04 16:00:00+00:00,23117.999999999767,0,28.8,0,16,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22569.22444064847
2019-01-04 17:00:00+00:00,25232.000000000156,0,28.1,0,17,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22808.708075837425
2019-01-04 18:00:00+00:00,24534.99999999977,0,28.0,0,18,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22789.7238445414
2019-01-04 19:00:00+00:00,19249.000000000065,0,27.6,0,19,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19201.123772792645
2019-01-04 20:00:00+00:00,15808.9999999999,0,26.5,0,20,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17643.36173939292
2019-01-04 21:00:00+00:00,12451.000000000047,0,25.5,0,21,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13353.79221452764
2019-01-04 22:00:00+00:00,8941.999999999935,0,23.8,0,22,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9974.372367462849
2019-01-04 23:00:00+00:00,5909.000000000047,0,23.5,0,23,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8515.328785509177
2019-01-05 00:00:00+00:00,4960.000000000027,0,24.3,1,0,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6615.988878353363
2019-01-05 01:00:00+00:00,4401.000000000049,0,24.9,1,1,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5857.654812612207
2019-01-05 02:00:00+00:00,3421.999999999987,0,24.4,1,2,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4118.934917800277
