lon,lat,value
-58.7,-34.72,0
-58.7,-34.71,0
-58.7,-34.7,0
-58.7,-34.69,0
-58.7,-34.68,0
-58.7,-34.67,0
-58.7,-34.66,0
-58.7,-34.65,0
-58.7,-34.64,0
-58.7,-34.63,0
-58.7,-34.62,0
-58.7,-34.61,0
-58.7,-34.6,0
-58.7,-34.59,0
-58.7,-34.58,0
-58.7,-34.57,0
-58.7,-34.56,0
-58.7,-34.55,0
-58.7,-34.54,0
-58.7,-34.53,0
-58.7,-34.52,0
-58.7,-34.51,0
-58.7,-34.5,0
-58.7,-34.49,0
-58.7,-34.48,0
-58.7,-34.47,0
-58.7,-34.46,0
-58.7,-34.45,0
-58.7,-34.44,0
-58.7,-34.43,0
-58.7,-34.42,0
-58.7,-34.41,0
-58.7,-34.4,0
-58.7,-34.39,0
-58.7,-34.38,0
-58.7,-34.37,0
-58.7,-34.36,0
-58.7,-34.35,0
-58.7,-34.34,0
-58.7,-34.33,0
-58.7,-34.32,0
-58.69,-34.93,0
-58.69,-34.92,0
-58.69,-34.91,0
-58.69,-34.9,0
-58.69,-34.89,0
-58.69,-34.88,0
-58.69,-34.87,0
-58.69,-34.86,0
-58.69,-34.85,0
-58.69,-34.84,0
-58.69,-34.83,0
-58.69,-34.82,0
-58.69,-34.81,0
-58.69,-34.8,0
-58.69,-34.79,0
-58.69,-34.78,0
-58.69,-34.77,0
-58.69,-34.76,0
-58.69,-34.75,0
-58.69,-34.74,0
-58.69,-34.73,0
-58.69,-34.72,0
-58.69,-34.71,0
-58.69,-34.7,0
-58.69,-34.69,0
-58.69,-34.68,0
-58.69,-34.67,0
-58.69,-34.66,0
-58.69,-34.65,0
-58.69,-34.64,0
-58.69,-34.63,0
-58.69,-34.62,0
-58.69,-34.61,0
-58.69,-34.6,0
-58.69,-34.59,0
-58.69,-34.58,0
-58.69,-34.57,0
-58.69,-34.56,0
-58.69,-34.55,0
-58.69,-34.54,0
-58.69,-34.53,0
-58.69,-34.52,0
-58.69,-34.51,0
-58.69,-34.5,0
-58.69,-34.49,0
-58.69,-34.48,0
-58.69,-34.47,0
-58.69,-34.46,0
-58.69,-34.45,0
-58.69,-34.44,0
-58.69,-34.43,0
-58.69,-34.42,0
-58.69,-34.41,0
-58.69,-34.4,0
-58.69,-34.39,0
-58.69,-34.38,0
-58.69,-34.37,0
-58.69,-34.36,0
-58.69,-34.35,0
-58.69,-34.34,0
-58.69,-34.33,0
-58.69,-34.32,0
-58.68,-34.93,0
-58.68,-34.92,0
-58.68,-34.91,0
-58.68,-34.9,0
-58.68,-34.89,0
-58.68,-34.88,0
-58.68,-34.87,0
-58.68,-34.86,0
-58.68,-34.85,0
-58.68,-34.84,0
-58.68,-34.83,0
-58.68,-34.82,0
-58.68,-34.81,0
-58.68,-34.8,0
-58.68,-34.79,0
-58.68,-34.78,0
-58.68,-34.77,0
-58.68,-34.76,0
-58.68,-34.75,0
-58.68,-34.74,0
-58.68,-34.73,0
-58.68,-34.72,0
-58.68,-34.71,0
-58.68,-34.7,0
-58.68,-34.69,0
-58.68,-34.68,0
-58.68,-34.67,0
-58.68,-34.66,0
-58.68,-34.65,0
-58.68,-34.64,0
-58.68,-34.63,0
-58.68,-34.62,0
-58.68,-34.61,0
-58.68,-34.6,0
-58.68,-34.59,0
-58.68,-34.58,0
-58.68,-34.57,0
-58.68,-34.56,0
-58.68,-34.55,0
-58.68,-34.54,0
-58.68,-34.53,0
-58.68,-34.52,0
-58.68,-34.51,0
-58.68,-34.5,0
-58.68,-34.49,0
-58.68,-34.48,0
-58.68,-34.47,0
-58.68,-34.46,0
-58.68,-34.45,0
-58.68,-34.44,0
-58.68,-34.43,0
-58.68,-34.42,0
-58.68,-34.41,0
-58.68,-34.4,0
-58.68,-34.39,0
-58.68,-34.38,0
-58.68,-34.37,0
-58.68,-34.36,0
-58.68,-34.35,0
-58.68,-34.34,0
-58.68,-34.33,0
-58.68,-34.32,0
-58.67,-34.93,0
-58.67,-34.92,0
-58.67,-34.91,0
-58.67,-34.9,0
-58.67,-34.89,0
-58.67,-34.88,0
-58.67,-34.87,0
-58.67,-34.86,0
-58.67,-34.85,0
-58.67,-34.84,0
-58.67,-34.83,0
-58.67,-34.82,0
-58.67,-34.81,0
-58.67,-34.8,0
-58.67,-34.79,0
-58.67,-34.78,0
-58.67,-34.77,0
-58.67,-34.76,0
-58.67,-34.75,0
-58.67,-34.74,0
-58.67,-34.73,0
-58.67,-34.72,0
-58.67,-34.71,0
-58.67,-34.7,0
-58.67,-34.69,0
-58.67,-34.68,0
-58.67,-34.67,0
-58.67,-34.66,0
-58.67,-34.65,0
-58.67,-34.64,0
-58.67,-34.63,0
-58.67,-34.62,0
-58.67,-34.61,0
-58.67,-34.6,0
-58.67,-34.59,0
-58.67,-34.58,0
-58.67,-34.57,0
-58.67,-34.56,0
-58.67,-34.55,0
-58.67,-34.54,0
-58.67,-34.53,0
-58.67,-34.52,0
-58.67,-34.51,0
-58.67,-34.5,0
-58.67,-34.49,0
-58.67,-34.48,0
-58.67,-34.47,0
-58.67,-34.46,0
-58.67,-34.45,0
-58.67,-34.44,0
-58.67,-34.43,0
-58.67,-34.42,0
-58.67,-34.41,0
-58.67,-34.4,0
-58.67,-34.39,0
-58.67,-34.38,0
-58.67,-34.37,0
-58.67,-34.36,0
-58.67,-34.35,0
-58.67,-34.34,0
-58.67,-34.33,0
-58.67,-34.32,0
-58.66,-34.93,0
-58.66,-34.92,0
-58.66,-34.91,0
-58.66,-34.9,0
-58.66,-34.89,0
-58.66,-34.88,0
-58.66,-34.87,0
-58.66,-34.86,0
-58.66,-34.85,0
-58.66,-34.84,0
-58.66,-34.83,0
-58.66,-34.82,0
-58.66,-34.81,0
-58.66,-34.8,0
-58.66,-34.79,0
-58.66,-34.78,0
-58.66,-34.77,0
-58.66,-34.76,0
-58.66,-34.75,0
-58.66,-34.74,0
-58.66,-34.73,0
-58.66,-34.72,0
-58.66,-34.71,0
-58.66,-34.7,0
-58.66,-34.69,0
-58.66,-34.68,0
-58.66,-34.67,0
-58.66,-34.66,0
-58.66,-34.65,0
-58.66,-34.64,0
-58.66,-34.63,0
-58.66,-34.62,0
-58.66,-34.61,0
-58.66,-34.6,0
-58.66,-34.59,0
-58.66,-34.58,0
-58.66,-34.57,0
-58.66,-34.56,0
-58.66,-34.55,0
-58.66,-34.54,0
-58.66,-34.53,0
-58.66,-34.52,0
-58.66,-34.51,0
-58.66,-34.5,0
-58.66,-34.49,0
-58.66,-34.48,0
-58.66,-34.47,0
-58.66,-34.46,0
-58.66,-34.45,0
-58.66,-34.44,0
-58.66,-34.43,0
-58.66,-34.42,0
-58.66,-34.41,0
-58.66,-34.4,0
-58.66,-34.39,0
-58.66,-34.38,0
-58.66,-34.37,0
-58.66,-34.36,0
-58.66,-34.35,0
-58.66,-34.34,0
-58.66,-34.33,0
-58.66,-34.32,0
-58.65,-34.93,0
-58.65,-34.92,0
-58.65,-34.91,0
-58.65,-34.9,0
-58.65,-34.89,0
-58.65,-34.88,0
-58.65,-34.87,0
-58.65,-34.86,0
-58.65,-34.85,0
-58.65,-34.84,0
-58.65,-34.83,0
-58.65,-34.82,0
-58.65,-34.81,0
-58.65,-34.8,0
-58.65,-34.79,0
-58.65,-34.78,0
-58.65,-34.77,0
-58.65,-34.76,0
-58.65,-34.75,0
-58.65,-34.74,0
-58.65,-34.73,0
-58.65,-34.72,0
-58.65,-34.71,0
-58.65,-34.7,0
-58.65,-34.69,0
-58.65,-34.68,0
-58.65,-34.67,0
-58.65,-34.66,0
-58.65,-34.65,0
-58.65,-34.64,0
-58.65,-34.63,0
-58.65,-34.62,0
-58.65,-34.61,0
-58.65,-34.6,0
-58.65,-34.59,0
-58.65,-34.58,0
-58.65,-34.57,0
-58.65,-34.56,0
-58.65,-34.55,0
-58.65,-34.54,0
-58.65,-34.53,0
-58.65,-34.52,0
-58.65,-34.51,0
-58.65,-34.5,0
-58.65,-34.49,0
-58.65,-34.48,0
-58.65,-34.47,0
-58.65,-34.46,0
-58.65,-34.45,0
-58.65,-34.44,0
-58.65,-34.43,0
-58.65,-34.42,0
-58.65,-34.41,0
-58.65,-34.4,0
-58.65,-34.39,0
-58.65,-34.38,0
-58.65,-34.37,0
-58.65,-34.36,0
-58.65,-34.35,0
-58.65,-34.34,0
-58.65,-34.33,0
-58.65,-34.32,0
-58.64,-34.93,0
-58.64,-34.92,0
-58.64,-34.91,0
-58.64,-34.9,0
-58.64,-34.89,0
-58.64,-34.88,0
-58.64,-34.87,0
-58.64,-34.86,0
-58.64,-34.85,0
-58.64,-34.84,0
-58.64,-34.83,0
-58.64,-34.82,0
-58.64,-34.81,0
-58.64,-34.8,0
-58.64,-34.79,0
-58.64,-34.78,0
-58.64,-34.77,0
-58.64,-34.76,0
-58.64,-34.75,0
-58.64,-34.74,0
-58.64,-34.73,0
-58.64,-34.72,0
-58.64,-34.71,0
-58.64,-34.7,0
-58.64,-34.69,0
-58.64,-34.68,0
-58.64,-34.67,0
-58.64,-34.66,0
-58.64,-34.65,0
-58.64,-34.64,0
-58.64,-34.63,0
-58.64,-34.62,0
-58.64,-34.61,0
-58.64,-34.6,0
-58.64,-34.59,0
-58.64,-34.58,0
-58.64,-34.57,0
-58.64,-34.56,0
-58.64,-34.55,0
-58.64,-34.54,0
-58.64,-34.53,0
-58.64,-34.52,0
-58.64,-34.51,0
-58.64,-34.5,0
-58.64,-34.49,0
-58.64,-34.48,0
-58.64,-34.47,0
-58.64,-34.46,0
-58.64,-34.45,0
-58.64,-34.44,0
-58.64,-34.43,0
-58.64,-34.42,0
-58.64,-34.41,0
-58.64,-34.4,0
-58.64,-34.39,0
-58.64,-34.38,0
-58.64,-34.37,0
-58.64,-34.36,0
-58.64,-34.35,0
-58.64,-34.34,0
-58.64,-34.33,0
-58.64,-34.32,0
-58.63,-34.93,0
-58.63,-34.92,0
